route_id,agency_id,route_long_name,route_desc,route_short_name,route_type,route_url,route_color,route_text_color
99738,2,,,6-6_,3,,376530,ffffff
99489,2,,,6-7,3,,376530,ffffff
99461,2,,,6-8,3,,376530,ffffff
99740,2,,,6-8_,3,,376530,ffffff
99463,2,,,6-9,3,,376530,ffffff
905,3,,,603B,3,,00608B,ffffff
975,3,,,626B,3,,00608B,ffffff
1680,2,,,7-1,3,,376530,ffffff
99690,2,,,7-2,3,,376530,ffffff
99485,2,,,7-3,3,,376530,ffffff
536,3,,,787A,3,,00608B,ffffff
1278,3,,,796A,3,,00608B,ffffff
99124,2,,,8-1,3,,376530,ffffff
2524,4,,,8-10,3,,D07400,ffffff
823,4,,,8-11,3,,D07400,ffffff
99125,2,,,8-2,3,,376530,ffffff
99161,2,,,8-3,3,,376530,ffffff
99268,2,,,8-4,3,,376530,ffffff
99162,2,,,8-5,3,,376530,ffffff
99334,2,,,8-6,3,,376530,ffffff
1539,3,,,870A,3,,00608B,ffffff
99131,2,,,9-1,3,,376530,ffffff
99140,2,,,9-10,3,,376530,ffffff
99300,2,,,9-11,3,,376530,ffffff
99314,2,,,9-2,3,,376530,ffffff
99733,2,,,9-2_,3,,376530,ffffff
99399,2,,,9-3,3,,376530,ffffff
99133,2,,,9-4,3,,376530,ffffff
99135,2,,,9-5,3,,376530,ffffff
99136,2,,,9-6,3,,376530,ffffff
99270,2,,,9-7,3,,376530,ffffff
99327,2,,,9-8,3,,376530,ffffff
99139,2,,,9-9,3,,376530,ffffff
99345,1,,,A15,3,,BA2B2E,ffffff
99157,1,,,A50,3,,BA2B2E,ffffff
99156,1,,,A52,3,,BA2B2E,ffffff
99159,1,,,A70,3,,BA2B2E,ffffff
99108,1,,,B1,3,,BA2B2E,ffffff
9998,1,,,B10,3,,BA2B2E,ffffff
99377,1,,,B10_,3,,BA2B2E,ffffff
99230,1,,,B11,3,,BA2B2E,ffffff
99378,1,,,B12,3,,BA2B2E,ffffff
99147,1,,,B12_,3,,BA2B2E,ffffff
9915,1,,,B13,3,,BA2B2E,ffffff
99642,1,,,B14,3,,BA2B2E,ffffff
99644,1,,,B14_,3,,BA2B2E,ffffff
99645,1,,,B14-,3,,BA2B2E,ffffff
99346,1,,,B16,3,,BA2B2E,ffffff
99846,1,,,B18,3,,BA2B2E,ffffff
99848,1,,,B18_,3,,BA2B2E,ffffff
99182,1,,,B23,3,,BA2B2E,ffffff
99163,1,,,B27,3,,BA2B2E,ffffff
99652,1,,,B28,3,,BA2B2E,ffffff
9914,1,,,B5,3,,BA2B2E,ffffff
99171,1,,,B50,3,,BA2B2E,ffffff
99173,1,,,B52,3,,BA2B2E,ffffff
99175,1,,,B53,3,,BA2B2E,ffffff
99352,1,,,B54,3,,BA2B2E,ffffff
99178,1,,,B55,3,,BA2B2E,ffffff
99181,1,,,B56,3,,BA2B2E,ffffff
99198,1,,,B61,3,,BA2B2E,ffffff
99223,1,,,B70,3,,BA2B2E,ffffff
99225,1,,,B71,3,,BA2B2E,ffffff
99197,1,,,B72,3,,BA2B2E,ffffff
99121,1,,,B73,3,,BA2B2E,ffffff
99184,1,,,B74,3,,BA2B2E,ffffff
99724,1,,,B74_,3,,BA2B2E,ffffff
9927,1,,,B90,3,,BA2B2E,ffffff
9931,1,,,B92,3,,BA2B2E,ffffff
99167,1,,,B93,3,,BA2B2E,ffffff
99186,1,,,B94,3,,BA2B2E,ffffff
1133,3,,,C1,3,,00608B,ffffff
609,3,,,C100,3,,00608B,ffffff
940,3,,,C101,3,,00608B,ffffff
1370,3,,,C11,3,,00608B,ffffff
968,3,,,C110,3,,00608B,ffffff
1372,3,,,C123,3,,00608B,ffffff
1092,3,,,C125,3,,00608B,ffffff
1465,3,,,C12A,3,,00608B,ffffff
1301,3,,,C13,3,,00608B,ffffff
649,3,,,C135,3,,00608B,ffffff
486,3,,,C142,3,,00608B,ffffff
